"","superid","Division","adjusted_id","Line","Station_Name","Station_Latitude","Station_Longitude"
"1","1037","IRT","1037","Flushing","103rdSt",40.749865,-73.8627
"2","1036","IRT","1036","Lexington","103rdSt",40.7906,-73.947478
"3","103bc","IND","103bc","8 Avenue","103rdSt",40.796092,-73.961454
"4","1031","IRT","1031","Broadway-7th Ave","103rdSt",40.799446,-73.968379
"5","104102jz","BMT","104102jz","Broadway Jamaica","104thSt-102ndSt",40.695178,-73.84433
"6","104jz",NA,"104102jz",NA,"104thSt-102ndSt",40.695178,-73.84433
"7","104a","IND","104a","Liberty","104thSt-OxfordAv",40.681711,-73.837683
"8","1106","IRT","1106","Lexington","110thSt",40.79502,-73.94425
"9","11023","IRT","11023","Lenox","110thSt-CentralParkNorth",40.799075,-73.951822
"10","111j","BMT","111j","Broadway Jamaica","111thSt",40.697418,-73.836345
"11","1117","IRT","1117","Flushing","111thSt",40.75173,-73.855334
"12","111a","IND","111a","Liberty","111thSt-GreenwoodAv",40.684331,-73.832163
"13","1166","IRT","1166","Lexington","116thSt",40.798629,-73.941617
"14","11623","IRT","11623","Lenox","116thSt",40.802098,-73.949625
"15","116bc","IND","116bc","8 Avenue","116thSt",40.805085,-73.954882
"16","1161","IRT","1161","Broadway-7th Ave","116thSt-ColumbiaUniversity",40.807722,-73.96411
"17","121jz","BMT","121jz","Broadway Jamaica","121stSt",40.700492,-73.828294
"18","125456","IRT","125456","Lexington","125thSt",40.804138,-73.937594
"19","12523","IRT","12523","Lenox","125thSt",40.807754,-73.945495
"20","125abcd","IND","125abcd","8 Avenue","125thSt",40.811109,-73.952343
"21","125acbd",NA,"125abcd",NA,"125thSt",40.811109,-73.952343
"22","1251","IRT","1251","Broadway-7th Ave","125thSt",40.815581,-73.958372
"23","13523","IRT","13523","Lenox","135thSt",40.814229,-73.94077
"24","135bc","IND","135bc","8 Avenue","135thSt",40.817894,-73.947649
"25","1371","IRT","1371","Broadway-7th Ave","137thSt-CityCollege",40.822008,-73.953676
"27","13845","IRT","13845","Jerome","138thSt",40.813224,-73.929849
"29","13836","IRT","13836","Pelham","138thSt-3rdAve",40.810476,-73.926138
"30","1453","IRT","1453","Lenox","145thSt",40.820421,-73.936245
"31","145abcd","IND","145abcd","8 Avenue","145thSt",40.824783,-73.944216
"32","1451","IRT","1451","Broadway-7th Ave","145thSt",40.826551,-73.95036
"33","149325","IRT","149325","White Plains Road","149thSt-3rdAv",40.816109,-73.917757
"34","149245","IRT","149245","Jerome","149thSt-GrandConcourse",40.818375,-73.927351
"35","14123flm",NA,"14flm123",NA,"14st",40.738228,-73.996209
"36","14flm123","IRT","14flm123","Broadway-7th Ave","14thSt",40.737826,-74.000201
"37","141",NA,"14flm123","broadway","14thSt",40.738228,-73.996209
"38","14acel","IND","14acel","8 Avenue","14thSt",40.740893,-74.00169
